source,target,following,followed_by
SenJohnMcCain,SenatorRounds,TRUE,TRUE
SenJohnMcCain,SenJohnThune,TRUE,FALSE
SenJohnMcCain,SenAlexander,TRUE,FALSE
SenJohnMcCain,BobCorker,TRUE,FALSE
SenJohnMcCain,JohnCornyn,TRUE,TRUE
SenJohnMcCain,SenTedCruz,TRUE,FALSE
SenJohnMcCain,senorrinhatch,TRUE,FALSE
SenJohnMcCain,SenMikeLee,TRUE,FALSE
SenJohnMcCain,SenatorLeahy,TRUE,FALSE
SenJohnMcCain,timkaine,TRUE,FALSE
SenJohnMcCain,MarkWarner,TRUE,FALSE
SenJohnMcCain,PattyMurray,TRUE,FALSE
SenJohnMcCain,SenatorCantwell,FALSE,FALSE
SenJohnMcCain,SenCapito,TRUE,FALSE
SenJohnMcCain,Sen_JoeManchin,TRUE,FALSE
SenJohnMcCain,SenatorBaldwin,TRUE,FALSE
SenJohnMcCain,SenRonJohnson,TRUE,FALSE
SenJohnMcCain,SenatorEnzi,TRUE,FALSE
SenJohnMcCain,SenJohnBarrasso,TRUE,TRUE
JeffFlake,SenShelby,TRUE,FALSE
JeffFlake,SenDougJones,FALSE,FALSE
JeffFlake,lisamurkowski,TRUE,FALSE
JeffFlake,SenDanSullivan,TRUE,FALSE
JeffFlake,SenJohnMcCain,TRUE,TRUE
JeffFlake,JeffFlake,FALSE,FALSE
JeffFlake,SenTomCotton,TRUE,FALSE
JeffFlake,JohnBoozman,FALSE,FALSE
JeffFlake,SenFeinstein,FALSE,FALSE
JeffFlake,SenKamalaHarris,TRUE,FALSE
JeffFlake,SenBennetCO,TRUE,FALSE
JeffFlake,SenCoryGardner,TRUE,FALSE
JeffFlake,ChrisMurphyCT,TRUE,FALSE
JeffFlake,SenBlumenthal,FALSE,FALSE
JeffFlake,SenatorCarper,FALSE,FALSE
JeffFlake,ChrisCoons,TRUE,FALSE
JeffFlake,SenBillNelson,FALSE,FALSE
JeffFlake,marcorubio,FALSE,FALSE
JeffFlake,sendavidperdue,TRUE,FALSE
JeffFlake,SenatorIsakson,TRUE,FALSE
JeffFlake,brianschatz,FALSE,FALSE
JeffFlake,maziehirono,TRUE,FALSE
JeffFlake,MikeCrapo,TRUE,TRUE
JeffFlake,SenatorRisch,TRUE,FALSE
JeffFlake,SenDuckworth,TRUE,FALSE
JeffFlake,SenatorDurbin,FALSE,FALSE
JeffFlake,SenDonnelly,FALSE,FALSE
JeffFlake,SenToddYoung,TRUE,FALSE
JeffFlake,ChuckGrassley,FALSE,FALSE
JeffFlake,joniernst,FALSE,FALSE
JeffFlake,SenPatRoberts,TRUE,FALSE
JeffFlake,JerryMoran,TRUE,FALSE
JeffFlake,SenateMajLdr,TRUE,FALSE
JeffFlake,RandPaul,TRUE,TRUE
JeffFlake,BillCassidy,FALSE,FALSE
JeffFlake,SenJohnKennedy,TRUE,FALSE
JeffFlake,SenAngusKing,FALSE,FALSE
JeffFlake,SenatorCollins,TRUE,TRUE
JeffFlake,ChrisVanHollen,TRUE,FALSE
JeffFlake,SenatorCardin,TRUE,FALSE
